id,"product-live-url","product-image","offer-price","original-price","product-charge","discount","product-name","product-badge"
72,"https://www.joyalukkas.in/triplet-dangle-bracelet-dsdb00004610.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdb00004610_1.jpg?tr=w-360","₹27,177","₹29,727","on Making Charges","50% Off","Triplet Dangle Bracelet",
73,"https://www.joyalukkas.in/eternal-hanging-diamond-earring-bnpsde0204.html","https://cdn.joyalukkas.in/media/catalog/product/b/n/bnpsde0204_1.jpg?tr=w-360","₹40,953","₹45,345","on Making Charges","50% Off","Eternal Hanging Diamond Earring",
74,"https://www.joyalukkas.in/petal-cascade-pendant-dsdp00012803.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdp00012803_1.jpg?tr=w-360","₹45,708","₹50,150","on Making Charges","50% Off","Petal Cascade Pendant","Express Delivery"
75,"https://www.joyalukkas.in/dazzling-eternity-diamond-ring-ndjtdr0051.html","https://cdn.joyalukkas.in/media/catalog/product/n/d/ndjtdr0051_1.jpg?tr=w-360","₹118,228","₹125,483","on Making Charges","50% Off","Dazzling Eternity Diamond Ring",
76,"https://www.joyalukkas.in/tiara-designed-diamond-ring-dsdr00017920.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00017920_1.jpg?tr=w-360","₹29,377","₹31,960","on Making Charges","50% Off","Tiara Designed Diamond Ring","Express Delivery"
77,"https://www.joyalukkas.in/opulent-brilliance-bracelet-dsdb00002543.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdb00002543_1.jpg?tr=w-360","₹243,585","₹269,389","on Making Charges","50% Off","Opulent Brilliance Bracelet",
78,"https://www.joyalukkas.in/droplet-harmony-ring-dsdr00021795.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00021795_1.jpg?tr=w-360","₹23,286","₹26,041","on Making Charges","50% Off","Droplet Harmony Ring",
79,"https://www.joyalukkas.in/radiant-glow-elegance-ring-lsdr00017837.html","https://cdn.joyalukkas.in/media/catalog/product/l/s/lsdr00017837_1.jpg?tr=w-360","₹149,813","₹154,343","on Making Charges","50% Off","Radiant Glow Elegance Ring","Express Delivery"
80,"https://www.joyalukkas.in/floral-enchantment-ring-dsdr00021797.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00021797_1.jpg?tr=w-360","₹29,217","₹32,500","on Making Charges","50% Off","Floral Enchantment Ring","Express Delivery"
81,"https://www.joyalukkas.in/floral-delight-ring-dsdr00021796.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00021796_1.jpg?tr=w-360","₹33,444","₹36,792","on Making Charges","50% Off","Floral Delight Ring",
82,"https://www.joyalukkas.in/oval-elegance-bracelet-dsdb00004611.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdb00004611_1.jpg?tr=w-360","₹36,671","₹39,994","on Making Charges","50% Off","Oval Elegance Bracelet","New"
83,"https://www.joyalukkas.in/amour-shaped-diamond-ring-dsdr00018227.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00018227_1.jpg?tr=w-360","₹24,581","₹26,590","on Making Charges","50% Off","Amour Shaped Diamond Ring",
84,"https://www.joyalukkas.in/globe-diamond-bracelet-tcdb00003157.html","https://cdn.joyalukkas.in/media/catalog/product/t/c/tcdb00003157_1.jpg?tr=w-360","₹74,770","₹84,688","on Making Charges","50% Off","Globe Diamond Bracelet","New"
85,"https://www.joyalukkas.in/sphere-diamond-women-ring-dsdr00018209.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00018209_1.jpg?tr=w-360","₹18,618","₹20,421","on Making Charges","50% Off","Sphere Diamond Women Ring",
86,"https://www.joyalukkas.in/prosper-diamond-ring-dsdr00018218.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00018218_1.jpg?tr=w-360","₹8,901","₹10,704","on Making Charges","50% Off","Prosper Diamond Ring","Express Delivery"
87,"https://www.joyalukkas.in/triumphant-prism-bracelet-dsdb00004612.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdb00004612_1.jpg?tr=w-360","₹29,930","₹32,337","on Making Charges","50% Off","Triumphant Prism Bracelet","Express Delivery"
88,"https://www.joyalukkas.in/networked-style-ring-dsdr00021800.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00021800_1.jpg?tr=w-360","₹21,879","₹24,403","on Making Charges","50% Off","Networked Style Ring",
89,"https://www.joyalukkas.in/diadem-shaped-diamond-ring-dsdr00018221.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00018221_1.jpg?tr=w-360","₹17,542","₹19,344","on Making Charges","50% Off","Diadem Shaped Diamond Ring","Express Delivery"
90,"https://www.joyalukkas.in/tetragon-diamond-ring-dsdr00018233.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00018233_1.jpg?tr=w-360","₹20,552","₹22,355","on Making Charges","50% Off","Tetragon Diamond Ring",
91,"https://www.joyalukkas.in/ethereal-deepam-ring-dsdr00021798.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00021798_1.jpg?tr=w-360","₹26,857","₹29,289","on Making Charges","50% Off","Ethereal Deepam Ring",
92,"https://www.joyalukkas.in/drip-diamond-women-ring-dsdr00018206.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00018206_1.jpg?tr=w-360","₹23,639","₹25,494","on Making Charges","50% Off","Drip Diamond Women Ring","Express Delivery"
93,"https://www.joyalukkas.in/droplet-pattern-diamond-ring-dsdr00018225.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00018225_1.jpg?tr=w-360","₹13,723","₹15,526","on Making Charges","50% Off","Droplet Pattern Diamond Ring","Express Delivery"
94,"https://www.joyalukkas.in/blooming-petals-diamond-ring-dsdr00021261.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00021261_1.jpg?tr=w-360","₹60,497","₹65,145","on Making Charges","50% Off","Blooming Petals Diamond Ring",
95,"https://www.joyalukkas.in/glisten-inspired-diamond-ring-dsdr00018205.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00018205_1.jpg?tr=w-360","₹18,064","₹19,866","on Making Charges","50% Off","Glisten Inspired  Diamond Ring","Express Delivery"
96,"https://www.joyalukkas.in/globe-diamond-bracelet-tcdb00003153.html","https://cdn.joyalukkas.in/media/catalog/product/t/c/tcdb00003153_1.jpg?tr=w-360","₹93,188","₹104,390","on Making Charges","50% Off","Globe Diamond Bracelet",
97,"https://www.joyalukkas.in/quadruple-circle-diamond-ring-dsdr00010180.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00010180_1.jpg?tr=w-360","₹105,265","₹110,571","on Making Charges","50% Off","Quadruple Circle Diamond Ring","New"
98,"https://www.joyalukkas.in/dolphin-serenade-necklace-tc1400089355.html","https://cdn.joyalukkas.in/media/catalog/product/t/c/tc1400089355_1.jpg?tr=w-360","₹64,419","₹71,821","on Making Charges","50% Off","Dolphin Serenade Necklace",
99,"https://www.joyalukkas.in/coronet-styled-diamond-ring-dsdr00018223.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00018223_1.jpg?tr=w-360","₹22,685","₹24,587","on Making Charges","50% Off","Coronet Styled Diamond Ring","New"
100,"https://www.joyalukkas.in/quadrilateral-inspired-diamond-ring-dsdr00018208.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00018208_1.jpg?tr=w-360","₹21,346","₹23,148","on Making Charges","50% Off","Quadrilateral Inspired Diamond Ring",
101,"https://www.joyalukkas.in/radiant-floral-diamond-ring-dsdr00021259.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/dsdr00021259_1.jpg?tr=w-360","₹54,826","₹58,403","on Making Charges","50% Off","Radiant Floral Diamond Ring","New"
102,"https://www.joyalukkas.in/rare-gold-bangles-ds1300028112.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/ds1300028112_1.jpg?tr=w-360","₹239,301","₹272,155","on Making Charges","50% Off","Rare Gold Bangles",
103,"https://www.joyalukkas.in/seashore-bliss-gold-necklace-tc1400089356.html","https://cdn.joyalukkas.in/media/catalog/product/t/c/tc1400089356_1.jpg?tr=w-360","₹66,576","₹74,218","on Making Charges","50% Off","Seashore Bliss Gold Necklace","New"
104,"https://www.joyalukkas.in/gold-serenade-necklace-ds1400087465.html","https://cdn.joyalukkas.in/media/catalog/product/d/s/ds1400087465_1_4.jpg?tr=w-360","₹21,376","₹23,596","on Making Charges","50% Off","Gold Serenade Necklace",
105,"https://www.joyalukkas.in/glimmering-diamond-rose-gold-necklace-zeal-inspired-tcdn00002518.html","https://cdn.joyalukkas.in/media/catalog/product/t/c/tcdn00002518_1.jpg?tr=w-360","₹491,682","₹547,530","on Making Charges","50% Off","Glimmering Diamond Rose Gold Necklace",
106,"https://www.joyalukkas.in/celestial-ball-charm-earring-tc1100141175.html","https://cdn.joyalukkas.in/media/catalog/product/t/c/tc1100141175_1.jpg?tr=w-360","₹64,344","₹71,740","on Making Charges","50% Off","Celestial Ball Charm Earring","New"
